,Company,Date_x,Next_Date,Sentiment_Score,Price
2474,NWL,2019-12-31,2020-01-30,-0.18265701899999998,17.65204620361328
2475,NWL,2020-12-31,2021-02-01,-0.196316346,22.74852561950684
2476,NWL,2021-12-31,2022-01-31,0.091257141,22.46367645263672
2477,NWS,2015-06-30,2015-07-30,-0.075546205,12.978408813476562
2478,NWS,2016-06-30,2016-08-01,-0.17548208899999998,12.285725593566895
2479,NWS,2017-06-30,2017-07-31,-0.11341601300000001,13.775859832763672
2480,NWS,2018-06-30,2018-07-30,0.031160921,14.387735366821287
2481,NWS,2019-06-30,2019-07-30,-0.034468862,13.191277503967285
2482,NWS,2020-06-30,2020-07-30,-0.228999893,12.66419506072998
2483,NWS,2021-06-30,2021-07-30,0.036191977,23.29135513305664
2484,NWSA,2015-06-30,2015-07-30,-0.075546205,13.414363861083984
2485,NWSA,2016-06-30,2016-08-01,-0.17548208899999998,11.853764533996582
2486,NWSA,2017-06-30,2017-07-31,-0.11341601300000001,13.398006439208984
2487,NWSA,2018-06-30,2018-07-30,0.031160921,14.18867015838623
2488,NWSA,2019-06-30,2019-07-30,-0.034468862,12.898966789245605
2489,NWSA,2020-06-30,2020-07-30,-0.228999893,12.64810848236084
2490,NWSA,2021-06-30,2021-07-30,0.036191977,24.40128898620605
2491,O,2014-12-31,2015-01-30,0.0,37.90370178222656
2492,O,2015-12-31,2016-02-01,0.024560887000000003,41.42988586425781
2493,O,2016-12-31,2017-01-30,0.035398413,45.09251403808594
2494,O,2017-12-31,2018-01-30,0.0,41.55139541625977
2495,O,2018-12-31,2019-01-30,0.0,56.12873077392578
2496,O,2019-12-31,2020-01-30,0.0,68.12004089355469
2497,O,2020-12-31,2021-02-01,-0.044314400000000004,54.53783416748047
2498,O,2021-12-31,2022-01-31,-0.036055921,67.71487426757811
2499,OKE,2014-12-31,2015-01-30,-0.08299082,26.79350662231445
2500,OKE,2015-12-31,2016-02-01,-0.059693202,15.346805572509766
2501,OKE,2016-12-31,2017-01-30,-0.021774602,37.15566635131836
