Company,Cik,Date,Sentiment_Score
AN,350698,20201231,0.076156047
AN,350698,20211231,0.027906333
ANTM,1156039,20141231,0.086473546
ANTM,1156039,20151231,0.085001965
ANTM,1156039,20161231,0.055335984
ANTM,1156039,20171231,0.139938083
ANTM,1156039,20181231,0.121403408
ANTM,1156039,20191231,0.036434496
ANTM,1156039,20201231,-0.002426365
ANTM,1156039,20211231,0.060760849
AON,315293,20141231,0.16518397
AON,315293,20151231,0.030190459
AON,315293,20161231,0.046014272
AON,315293,20171231,0.100072295
AON,315293,20181231,0.123231796
AON,315293,20191231,0.087713421
AON,315293,20201231,0.117026577
AON,315293,20211231,0.077014679
APA,6769,20141231,0.019355027
APA,6769,20151231,-0.04379627
APA,6769,20161231,-0.113913328
APA,6769,20171231,-0.108056138
APA,6769,20181231,0.053980007
APA,6769,20191231,-0.092555723
APA,6769,20201231,-0.01612793
APA,6769,20211231,0.056431384
APC,773910,20141231,0.01056872
APC,773910,20151231,-0.064471645
APC,773910,20161231,0.032894038
APC,773910,20171231,0.031097535
APC,773910,20181231,0.070089705
APD,2969,20150930,0.104433613
APD,2969,20160930,0.119645453
APD,2969,20170930,0.069405787
APD,2969,20180930,0.060025792
APD,2969,20190930,0.155169766
APD,2969,20200930,0.130265726
APD,2969,20210930,0.157549089
APH,820313,20141231,0.175186917
APH,820313,20151231,0.170939692
APH,820313,20161231,0.135486566
APH,820313,20171231,0.1703367
APH,820313,20181231,0.131393936
APH,820313,20191231,0.077266332
APH,820313,20201231,-0.006472682
APH,820313,20211231,0.042915279
ARNC,4281,20141231,0.230530997
ARNC,4281,20151231,0.080778701
ARNC,4281,20161231,0.073877064
ARNC,4281,20171231,0.041318746
ARNC,4281,20181231,0.14130339
ARNC,4281,20191231,0.14851995
ARNC,4281,20201231,0.175716538
ARNC,4281,20211231,0.120202283
ATVI,718877,20141231,-0.068215254
ATVI,718877,20151231,-0.031528918
ATVI,718877,20161231,0.058371122
ATVI,718877,20171231,0.045762145
ATVI,718877,20181231,0.21442156
ATVI,718877,20191231,-0.015222211
ATVI,718877,20201231,0.209930535
ATVI,718877,20211231,0.078241495
AVB,915912,20141231,0.04680738
AVB,915912,20151231,0.033128831
AVB,915912,20161231,0.045406303
AVB,915912,20171231,0.018209543
AVB,915912,20181231,0.024827247
AVB,915912,20191231,-0.001563987
AVB,915912,20201231,-0.056246939
AVB,915912,20211231,-0.057031742
AVGO,1649338,20161030,0.00602958
AVGO,1649338,20171029,0.041536864
AVY,8818,20150103,0
AVY,8818,20160102,0
AVY,8818,20161231,0
AVY,8818,20171230,0
AVY,8818,20181229,0
AVY,8818,20191228,0
AVY,8818,20210102,0
AVY,8818,20220101,0
AWK,1410636,20141231,0.029818443
AWK,1410636,20151231,0.095445923
AWK,1410636,20161231,0.147502439
AWK,1410636,20171231,0.058224101
AWK,1410636,20181231,0.090474616
AWK,1410636,20191231,0.015087191
AWK,1410636,20201231,0.052070717
AWK,1410636,20211231,0.013350493
AXP,4962,20141231,0
AXP,4962,20151231,-0.018268332
AXP,4962,20161231,0.01282207
AXP,4962,20171231,0.047741614
AXP,4962,20181231,0.033079178
AXP,4962,20191231,0.006720246
AXP,4962,20201231,-0.077738434
AXP,4962,20211231,-0.031585755
AYI,1144215,20150831,0.213293238
AYI,1144215,20160831,0.2860879
AYI,1144215,20170831,0.209210641
AYI,1144215,20180831,0.233753438
AYI,1144215,20190831,0.074381486
AYI,1144215,20200831,-0.044771637
AYI,1144215,20210831,0.137092645
AZO,866787,20150829,0.21620648
AZO,866787,20160827,0.17541155
AZO,866787,20170826,0.110572429
AZO,866787,20180825,0.150831374
AZO,866787,20190831,0.172326644
AZO,866787,20200829,0.021768168
AZO,866787,20210828,0.101964196
BA,12927,20141231,0.03618404
BA,12927,20151231,-0.082372135
BA,12927,20161231,-0.167109555
BA,12927,20171231,-0.030006465
BA,12927,20181231,0.096408836
BA,12927,20191231,0.011405793
BA,12927,20201231,-0.299930463
BA,12927,20211231,-0.224104838
BAC,70858,20141231,0.076048327
BAC,70858,20151231,0.077618075
BAC,70858,20161231,0.089243977
BAC,70858,20171231,0.085881289
BAC,70858,20181231,0.066027483
BAC,70858,20191231,0.00472467
BAC,70858,20201231,-0.041849026
BAC,70858,20211231,0.072382796
